nohup: ignoring input
Device:  cuda
Loading the dataset into memory...
Building the vocabulary...
Setting up data loaders...
Creating necessary directories...
Loaded checkpoint from epoch 1053
Starting the training...
Epoch [1054], Train Loss: 0.0861157757, Test Loss: 0.0869298453
Epoch [1055], Train Loss: 0.0855373173, Test Loss: 0.0893678019
Epoch [1056], Train Loss: 0.0861478046, Test Loss: 0.0831414273
Epoch [1057], Train Loss: 0.0857841187, Test Loss: 0.0839258407
Epoch [1058], Train Loss: 0.0860573747, Test Loss: 0.0854582247
Epoch [1059], Train Loss: 0.0849128187, Test Loss: 0.0843993766
Epoch [1060], Train Loss: 0.0860353720, Test Loss: 0.0847287614
Epoch [1061], Train Loss: 0.0859224547, Test Loss: 0.0870361682
Epoch [1062], Train Loss: 0.0859203629, Test Loss: 0.0860498575
Epoch [1063], Train Loss: 0.0852253579, Test Loss: 0.0906023398
Epoch [1064], Train Loss: 0.0854037024, Test Loss: 0.0833903810
Epoch [1065], Train Loss: 0.0855626117, Test Loss: 0.0840977251
Epoch [1066], Train Loss: 0.0854160142, Test Loss: 0.0835654393
Epoch [1067], Train Loss: 0.0857959311, Test Loss: 0.0845709572
Epoch [1068], Train Loss: 0.0854119891, Test Loss: 0.0868238722
Epoch [1069], Train Loss: 0.0852423415, Test Loss: 0.0866409276
Epoch [1070], Train Loss: 0.0851315198, Test Loss: 0.0842807758
Epoch [1071], Train Loss: 0.0853959650, Test Loss: 0.0847995896
Epoch [1072], Train Loss: 0.0849300142, Test Loss: 0.0833394689
Epoch [1073], Train Loss: 0.0852782474, Test Loss: 0.0890635536
Epoch [1074], Train Loss: 0.0854241432, Test Loss: 0.0844433808
Epoch [1075], Train Loss: 0.0846162745, Test Loss: 0.0845667531
Epoch [1076], Train Loss: 0.0850997312, Test Loss: 0.0861105609
Epoch [1077], Train Loss: 0.0846852605, Test Loss: 0.0836992487
Epoch [1078], Train Loss: 0.0846970655, Test Loss: 0.0830555121
Epoch [1079], Train Loss: 0.0847762345, Test Loss: 0.0836823639
Epoch [1080], Train Loss: 0.0852570681, Test Loss: 0.0878062222
Epoch [1081], Train Loss: 0.0844515249, Test Loss: 0.0839217828
Epoch [1082], Train Loss: 0.0852363444, Test Loss: 0.0847377100
Epoch [1083], Train Loss: 0.0845311117, Test Loss: 0.0874712171
Epoch [1084], Train Loss: 0.0854011903, Test Loss: 0.0830612612
Epoch [1085], Train Loss: 0.0848020455, Test Loss: 0.0856571591
Epoch [1086], Train Loss: 0.0850036609, Test Loss: 0.0840095584
